latitude,longitude,monsoon_rainfall_mm,soil_moisture_pct,slope_angle_deg,vegetation_cover_pct,soil_type,historical_incidents_10yr,risk_percentage
28.0275,88.5802,592.5,69.0,60.1,52.7,Sandy,9,52.4
23.3993,90.6303,499.8,45.9,32.5,57.7,Sandy,7,33.2
28.6942,95.6589,232.0,29.2,24.7,39.3,Rocky,4,21.5
26.0451,95.1085,393.4,31.8,26.1,74.6,Clayey,1,31.9
28.0558,89.7529,402.6,36.9,51.3,51.9,Loamy,7,31.0
28.7207,89.9888,205.2,22.3,58.1,19.3,Sandy,2,22.3
24.385,91.5195,358.6,38.6,16.8,20.3,Sandy,1,22.8
22.8254,92.603,409.0,39.6,29.1,52.9,Sandy,4,19.3
23.7095,93.8734,353.5,18.9,63.6,84.9,Rocky,7,27.4
25.2033,91.5047,276.1,32.5,57.4,34.7,Loamy,5,42.4
28.1351,92.3941,227.0,39.0,69.0,79.6,Clayey,10,38.0
28.4555,95.101,347.0,32.7,54.0,71.1,Rocky,5,21.7
22.0521,88.3485,294.6,28.3,30.6,29.8,Loamy,5,30.8
25.8306,90.3982,536.4,33.6,43.4,12.9,Sandy,6,48.2
25.1306,94.7768,775.7,40.7,48.0,18.1,Loamy,2,39.8
23.6658,96.5045,631.1,55.6,10.1,68.3,Rocky,3,30.8
22.899,92.8609,416.0,37.6,40.4,26.0,Clayey,7,48.5
24.5321,93.0551,281.8,39.1,51.1,39.7,Sandy,4,41.3
29.0718,89.0181,622.8,60.8,15.9,50.1,Clayey,3,46.1
24.424,92.2504,552.5,52.7,55.7,68.0,Loamy,11,62.1
25.8909,93.0599,749.3,50.0,42.9,19.1,Rocky,11,49.5
27.2726,90.3035,446.4,41.6,66.9,42.5,Sandy,7,47.7
24.7272,90.5578,890.6,55.9,7.8,48.8,Loamy,4,36.5
29.2884,91.5842,446.5,34.8,22.2,53.3,Rocky,3,23.4
29.2184,88.1907,281.1,35.6,44.1,75.5,Loamy,5,38.7
23.8884,91.0598,309.8,27.5,24.3,23.7,Loamy,6,22.0
25.7294,90.0088,523.8,26.3,51.4,74.6,Sandy,7,30.2
24.2566,91.1112,294.2,26.4,54.3,65.4,Loamy,5,41.0
24.1363,89.1377,887.6,58.2,11.7,54.5,Loamy,6,47.5
22.2767,96.46,502.4,55.2,38.4,66.0,Rocky,5,32.1
26.5717,93.6391,411.4,34.9,38.1,43.0,Loamy,6,41.0
25.7701,94.4515,429.1,43.8,29.0,21.1,Loamy,6,40.5
22.3861,95.4971,351.5,34.8,65.6,63.3,Clayey,10,55.7
24.0898,92.7352,144.1,36.4,58.8,52.0,Sandy,4,33.0
28.812,88.8257,309.9,43.5,50.3,61.1,Loamy,7,43.7
23.7967,93.1025,834.0,67.6,51.4,37.0,Clayey,8,78.7
23.0867,93.575,452.5,26.9,35.0,82.5,Rocky,9,29.6
25.6709,95.0817,666.5,52.2,64.9,57.0,Clayey,8,57.4
29.3924,92.1008,675.9,57.1,50.1,16.8,Clayey,8,63.7
23.8154,89.212,395.3,41.2,52.4,46.0,Sandy,6,37.4
27.041,90.6959,556.9,50.6,61.0,70.5,Rocky,9,58.7
27.7121,91.4493,154.1,27.5,22.8,73.5,Sandy,6,17.7
23.7823,94.1362,801.1,50.8,57.5,49.6,Clayey,9,57.6
27.4616,93.4224,769.5,41.7,17.7,81.6,Loamy,4,26.5
24.7584,91.3829,516.6,38.5,27.4,31.4,Rocky,2,36.8
26.7423,97.3719,460.8,62.5,26.8,42.8,Clayey,2,44.7
26.7515,93.7549,398.0,34.4,68.6,81.9,Clayey,6,40.1
26.0183,90.2537,704.2,36.6,60.7,81.7,Sandy,7,47.4
22.6772,88.9669,588.7,52.8,50.6,64.9,Loamy,4,34.5
28.2648,89.4522,100.0,31.4,52.3,78.7,Clayey,4,30.1
24.4059,90.3366,331.7,45.5,41.5,17.1,Clayey,3,45.0
23.3989,89.5265,210.5,33.4,66.6,79.2,Sandy,7,44.4
22.3058,89.7724,187.5,35.4,37.3,35.6,Rocky,0,18.6
26.4317,90.7084,700.6,66.8,29.7,24.3,Rocky,5,37.0
27.0817,89.647,393.5,32.1,15.6,29.1,Loamy,2,21.1
22.1244,96.5193,512.4,35.9,56.1,43.4,Clayey,7,40.3
25.8407,88.7622,419.7,30.5,52.7,30.1,Loamy,7,50.8
23.6987,92.9829,189.0,26.5,30.0,35.6,Loamy,6,36.5
26.8388,91.8988,156.3,38.6,6.6,20.8,Loamy,2,22.4
23.3077,97.3326,319.7,38.9,59.5,33.7,Loamy,9,52.8
27.182,89.0644,334.3,39.2,5.7,55.8,Clayey,1,22.3
24.9005,91.7796,334.1,20.8,50.7,45.3,Loamy,7,35.1
29.0255,97.21,339.3,30.0,68.1,37.7,Clayey,10,48.0
23.0314,96.2223,1018.0,52.0,33.4,69.7,Clayey,8,50.7
24.558,95.7622,661.6,59.7,20.3,81.5,Clayey,8,30.4
22.8511,90.4501,455.8,53.6,50.8,70.5,Sandy,6,41.1
28.9352,89.6234,388.4,44.0,58.1,36.6,Rocky,2,37.9
28.58,94.3521,395.5,30.2,40.5,69.6,Loamy,4,34.4
23.9346,96.8291,578.2,58.4,67.9,22.2,Loamy,8,60.3
26.9499,93.2892,386.6,35.7,8.4,20.4,Sandy,6,25.9
28.1292,93.4303,628.8,39.1,37.8,37.7,Loamy,5,36.7
26.164,90.6598,480.8,34.3,51.7,74.6,Rocky,6,33.5
25.9724,95.3102,1022.5,63.4,61.1,29.7,Loamy,7,71.4
23.8139,89.7769,374.6,37.6,16.7,15.1,Clayey,2,25.8
22.6983,91.075,684.7,50.1,57.0,20.5,Sandy,6,54.2
28.7291,92.0416,221.6,18.9,40.9,78.7,Loamy,9,27.0
28.7531,92.8223,285.7,42.8,30.8,60.7,Rocky,2,18.2
26.7483,90.3029,955.7,62.6,13.6,30.3,Clayey,6,47.7
24.5427,89.0909,615.8,42.5,61.2,54.4,Sandy,14,53.7
24.6191,93.8009,517.0,52.6,15.2,52.2,Loamy,4,24.8
27.4447,90.742,1150.9,63.3,25.1,62.4,Sandy,8,53.7
28.7283,93.5218,391.3,24.9,23.9,28.7,Loamy,8,26.5
28.6531,89.4664,683.9,61.5,61.6,79.2,Clayey,5,59.4
27.8491,92.5708,708.6,67.6,48.7,34.7,Clayey,13,76.8
26.8152,93.0596,854.5,55.5,56.8,65.5,Sandy,13,51.7
22.631,88.4923,206.9,29.1,21.3,11.3,Rocky,5,27.1
23.2122,91.1977,390.0,28.7,45.6,39.8,Loamy,5,32.0
28.7392,89.2769,476.6,41.9,42.2,38.1,Loamy,10,50.1
26.5482,88.6021,847.7,55.0,59.1,53.5,Loamy,12,52.7
22.069,97.4046,506.6,42.4,63.9,15.8,Clayey,7,59.3
22.761,91.0624,709.3,55.8,5.8,73.2,Loamy,5,25.9
26.9763,95.6938,196.1,20.2,48.8,27.4,Loamy,6,32.4
22.038,90.4191,343.8,32.9,8.4,64.2,Loamy,0,10.1
23.2061,94.4743,768.0,40.8,40.7,74.3,Sandy,10,47.6
26.1155,95.2222,368.0,34.0,23.7,55.0,Clayey,7,26.6
27.1892,93.6586,406.6,37.9,24.9,69.3,Loamy,1,27.8
26.8897,92.48,841.0,60.4,27.9,62.9,Sandy,2,38.4
23.682,91.9125,249.9,33.4,45.4,38.4,Clayey,5,36.6
27.3413,91.3142,283.2,40.2,26.7,74.7,Rocky,4,20.7
23.7794,96.8305,183.9,16.1,52.6,33.6,Rocky,5,23.4
24.4405,95.8909,857.5,47.4,31.3,55.7,Loamy,4,44.7
27.5987,97.1678,655.6,54.3,9.4,69.6,Sandy,5,38.7
26.8722,89.1808,647.5,33.4,55.9,40.3,Loamy,9,45.0
28.3692,94.9432,338.7,37.0,23.6,34.2,Sandy,5,35.5
26.9321,96.9142,175.7,18.6,33.1,46.7,Rocky,0,25.1
26.2623,89.7217,146.5,39.3,49.6,75.4,Sandy,5,22.4
22.7026,88.6317,770.8,57.3,26.6,84.4,Loamy,3,28.2
24.7579,95.0406,534.2,42.7,8.7,53.6,Loamy,2,27.8
23.989,93.4575,585.2,56.6,29.3,62.9,Loamy,6,35.4
23.8299,95.9974,465.5,32.8,66.4,82.3,Clayey,5,54.0
29.2976,89.3278,264.5,25.1,46.7,17.9,Loamy,4,35.8
24.9482,95.555,347.1,25.8,48.6,28.6,Sandy,6,31.5
28.6903,89.9155,228.9,23.6,46.1,66.7,Loamy,3,19.4
26.7335,89.5547,212.7,30.2,17.9,75.9,Loamy,6,24.9
27.9611,89.5605,629.3,52.8,32.2,78.6,Sandy,5,31.6
25.7698,95.7385,154.7,34.8,53.8,43.2,Clayey,7,39.2
26.3268,94.3194,229.8,15.9,11.6,17.1,Loamy,1,24.5
25.6939,92.9691,357.8,35.0,23.1,45.0,Clayey,2,26.5
23.4643,91.4089,425.9,30.7,23.0,28.5,Rocky,4,26.4
27.4184,96.3334,182.5,26.7,33.1,33.3,Rocky,3,22.1
24.1058,91.7282,152.2,45.6,68.7,71.8,Rocky,7,39.0
22.1824,95.7577,503.4,45.4,9.4,16.0,Sandy,6,36.3
26.841,92.1718,452.4,47.9,38.7,76.2,Sandy,4,30.4
23.3283,91.581,764.3,70.7,16.7,44.2,Loamy,4,43.5
29.0534,92.3955,429.6,48.7,68.1,57.7,Rocky,10,43.8
29.1545,90.8631,528.9,40.7,12.4,17.2,Rocky,3,19.8
28.8615,95.1023,272.8,22.3,31.2,37.0,Rocky,1,22.3
24.7762,92.7758,279.2,32.6,53.0,17.2,Sandy,3,48.7
22.1159,90.206,194.0,24.4,50.8,86.9,Rocky,2,14.0
28.9624,96.546,274.3,20.4,32.5,74.6,Loamy,3,16.1
25.2114,91.647,344.3,37.7,27.5,46.8,Sandy,4,22.3
29.2499,93.1638,727.4,55.5,30.8,27.9,Loamy,8,53.3
29.2271,96.6115,251.7,45.7,22.2,84.7,Sandy,4,22.3
28.3976,93.9303,1044.9,65.0,18.3,37.6,Loamy,7,51.1
24.2084,89.1105,552.1,47.5,36.4,22.9,Loamy,11,42.4
24.8882,96.9284,496.9,37.5,22.5,55.1,Loamy,9,33.9
28.3835,93.9632,412.6,45.9,23.7,85.5,Clayey,2,17.8
24.3769,91.1816,373.2,36.1,47.7,10.3,Rocky,8,41.5
23.2712,89.3231,296.9,24.2,68.0,29.0,Clayey,12,55.6
26.176,95.5432,178.1,28.1,44.2,85.1,Loamy,3,15.1
29.0212,93.8907,256.6,34.9,10.0,23.7,Clayey,0,15.1
27.2202,93.0679,856.5,61.3,9.9,19.1,Rocky,7,52.0
26.2755,96.492,535.4,52.9,66.8,55.6,Sandy,9,47.3
22.7288,95.4917,852.7,47.5,24.3,78.9,Loamy,8,47.1
26.6126,89.4409,292.8,26.7,11.0,48.2,Loamy,2,17.5
29.4254,90.9614,225.1,35.4,43.9,89.6,Sandy,5,23.2
23.0506,90.3606,410.6,33.0,45.5,64.3,Clayey,5,39.7
25.8875,95.0675,261.9,33.9,47.2,15.9,Rocky,5,29.2
28.5803,88.3186,454.6,21.5,22.4,89.4,Sandy,3,18.5
27.5558,93.414,156.4,48.9,6.0,42.6,Clayey,2,20.0
27.2276,95.2434,112.3,23.0,67.7,33.0,Rocky,11,29.3
27.2686,96.3293,487.4,51.9,21.3,54.6,Rocky,5,31.0
24.6962,91.2498,868.2,57.1,48.9,34.3,Loamy,10,57.7
24.2019,95.8019,498.2,46.2,50.9,16.9,Rocky,5,42.9
28.0702,89.051,532.7,56.4,44.7,10.1,Loamy,7,44.1
28.0759,96.0413,419.6,48.6,25.3,46.0,Loamy,3,41.7
28.503,89.2111,440.1,38.5,22.6,76.9,Sandy,4,29.0
28.8493,91.7742,172.8,26.8,43.8,55.8,Sandy,2,29.8
25.8351,95.5743,267.4,40.3,61.3,89.9,Clayey,3,33.7
25.7614,89.4242,723.7,71.8,66.5,32.9,Loamy,5,51.5
27.9872,90.1779,214.2,31.4,11.9,32.4,Loamy,3,32.7
26.8747,94.8614,340.3,51.3,15.1,22.8,Sandy,1,27.3
27.2648,94.8403,716.6,50.9,66.4,23.1,Clayey,13,62.6
27.9684,94.0909,433.9,47.5,52.9,32.8,Sandy,7,47.2
28.675,94.5925,445.2,49.2,62.4,73.4,Clayey,5,52.9
24.535,93.1559,341.7,32.4,18.2,82.5,Sandy,3,16.9
24.8169,90.3921,571.6,40.2,43.2,88.0,Sandy,11,45.2
22.7049,91.2841,640.3,58.5,50.6,28.6,Loamy,9,61.5
26.3371,89.7252,259.4,27.6,49.2,80.5,Loamy,3,20.4
22.2696,96.6303,182.9,21.2,31.5,36.3,Loamy,3,20.1
25.492,93.5422,127.0,20.3,6.0,19.0,Loamy,0,20.2
26.0698,91.8081,520.1,39.6,42.9,79.6,Rocky,4,13.7
24.1491,92.3891,490.8,49.3,21.5,60.9,Clayey,6,34.6
26.4312,96.9992,1189.3,78.6,34.3,23.2,Sandy,14,60.5
22.2288,89.4568,420.8,45.0,67.2,44.4,Loamy,9,47.3
22.2801,93.5692,382.9,40.9,30.9,33.0,Rocky,6,29.6
28.1695,92.8059,462.3,36.4,59.6,68.9,Loamy,7,39.4
24.7014,93.8088,475.0,47.3,17.3,46.3,Sandy,3,25.3
22.953,88.172,367.6,46.3,48.7,89.1,Clayey,5,29.8
25.9168,96.2852,264.2,36.8,68.5,14.4,Clayey,4,62.9
27.775,96.8551,409.3,42.4,11.6,38.4,Loamy,2,37.5
23.6187,93.3688,401.4,32.3,5.5,48.6,Sandy,3,12.2
26.6717,94.6182,398.1,39.9,33.2,50.3,Sandy,10,44.4
22.6401,96.7637,601.3,41.0,11.0,35.3,Clayey,3,32.0
22.3876,94.7188,405.5,38.4,53.6,68.3,Sandy,7,37.7
25.9852,89.4491,185.3,15.4,64.4,80.0,Loamy,5,28.7
26.0548,93.4747,288.1,20.1,33.2,85.1,Loamy,4,16.4
26.7807,93.7638,365.2,35.2,21.8,74.4,Loamy,5,29.8
27.4457,92.0292,415.4,34.7,33.2,78.0,Rocky,5,24.9
29.3189,94.9962,525.5,44.9,52.0,54.0,Clayey,4,42.6
25.8723,96.8765,417.1,38.0,5.6,76.1,Clayey,2,13.0
24.4222,96.7929,113.9,25.5,43.3,34.3,Sandy,2,20.0
27.9639,92.283,198.4,34.0,44.9,41.9,Sandy,2,18.8
24.0312,89.0758,543.4,41.2,46.4,35.4,Loamy,13,49.3
25.2923,97.356,360.0,34.7,20.7,47.4,Sandy,3,16.9
22.5884,95.9695,435.5,51.6,51.4,32.8,Rocky,5,39.7
22.1901,89.1843,336.4,35.4,10.9,86.9,Sandy,1,21.3
29.2199,96.748,287.4,31.7,18.0,35.0,Loamy,2,31.0
28.2699,96.264,342.9,36.4,62.0,17.8,Loamy,7,47.1
27.2198,92.929,438.1,38.8,53.0,52.1,Clayey,6,43.6
25.0671,93.6171,404.0,32.8,5.9,14.6,Sandy,3,35.9
23.2997,91.7905,638.2,41.3,21.1,18.8,Loamy,5,42.8
23.1733,88.5202,164.4,21.4,18.9,27.6,Loamy,4,19.5
23.8768,91.1844,178.5,35.2,22.6,47.1,Rocky,5,11.1
26.1192,95.6271,357.8,31.4,21.1,44.7,Sandy,3,26.2
27.3595,88.044,528.5,43.0,9.1,74.0,Rocky,5,25.9
26.9515,91.1682,585.3,52.4,34.8,69.2,Clayey,5,37.2
24.0995,91.7826,293.7,31.2,52.6,44.1,Loamy,10,41.7
29.1615,93.1053,100.0,29.7,44.4,36.7,Clayey,3,29.3
27.5342,96.7386,298.9,21.4,48.7,35.3,Sandy,9,34.3
26.1577,91.2903,491.6,41.5,10.3,71.9,Rocky,4,4.8
26.5879,91.2961,400.1,39.0,66.8,14.2,Loamy,5,48.7
25.147,95.0063,538.1,44.8,59.5,11.0,Loamy,11,62.5
23.858,92.2961,711.5,39.4,57.3,73.6,Loamy,6,42.1
24.6698,90.1337,370.9,46.6,58.5,48.2,Sandy,5,41.5
27.6838,92.2982,317.0,27.7,65.6,20.5,Rocky,6,36.2
22.108,89.3381,244.2,33.9,40.4,28.8,Sandy,4,33.7
22.8705,89.6757,177.9,28.2,18.0,84.6,Clayey,4,16.1
22.345,92.7345,150.0,34.9,45.1,78.8,Loamy,2,18.4
22.3055,91.9798,278.2,50.3,53.3,66.8,Rocky,7,42.3
28.416,96.691,664.4,40.1,53.0,48.6,Sandy,6,51.0
27.2774,91.4427,563.6,40.6,38.9,51.6,Loamy,10,38.9
25.5563,93.5156,309.0,35.7,9.4,88.0,Loamy,3,18.0
22.7338,94.0065,1049.7,59.3,29.1,87.3,Clayey,7,53.3
25.6871,88.1244,288.7,39.5,64.8,27.2,Sandy,6,47.6
25.551,94.3036,744.4,60.9,43.0,74.9,Sandy,8,35.7
23.299,89.6913,829.7,62.5,40.0,25.8,Sandy,8,60.6
25.2539,97.1302,508.2,45.2,22.5,27.1,Clayey,3,34.9
24.9888,89.4123,276.8,43.6,28.9,64.1,Sandy,3,22.3
26.6189,91.9389,331.2,25.9,63.2,42.4,Loamy,9,58.7
26.7632,88.8108,443.5,40.8,48.3,84.5,Sandy,2,32.4
22.3398,97.4703,180.9,22.4,56.2,17.1,Rocky,7,32.0
24.8096,92.7709,231.3,37.7,34.5,50.9,Rocky,5,11.8
26.6939,93.6562,220.6,15.4,46.0,83.5,Loamy,2,29.3
25.7735,88.6372,527.3,43.9,21.1,82.3,Loamy,8,22.2
28.4237,95.1246,708.2,55.1,50.9,22.5,Sandy,8,48.3
26.9402,89.9941,574.5,38.8,32.8,39.3,Sandy,5,34.8
23.222,96.5315,651.6,44.9,33.8,59.5,Loamy,5,47.5
22.5293,89.9488,264.0,32.2,47.2,22.8,Clayey,6,45.6
26.8181,89.8115,339.1,43.2,65.9,87.4,Loamy,7,38.7
22.1988,88.3472,352.8,27.9,9.2,83.2,Rocky,3,12.6
26.3933,92.4846,507.2,36.4,58.6,23.4,Loamy,9,46.9
29.0517,93.366,282.4,41.9,24.0,19.7,Clayey,4,35.5
26.3161,88.6242,632.0,46.8,33.9,16.8,Loamy,5,45.9
24.9113,95.3675,818.5,51.3,6.4,82.8,Loamy,2,35.2
26.8247,92.3062,520.0,49.7,24.6,25.5,Loamy,3,43.4
25.4369,92.9817,331.2,31.3,37.7,43.3,Loamy,3,33.9
26.0921,92.1872,251.1,39.7,8.7,45.9,Loamy,4,19.1
29.061,91.8072,220.9,24.8,36.9,57.9,Clayey,2,31.2
24.8958,93.3166,114.7,24.0,65.3,15.7,Rocky,6,35.2
29.2089,89.4748,358.5,44.0,11.9,28.1,Loamy,6,23.4
28.7901,89.7283,347.8,34.1,54.7,84.5,Sandy,6,29.5
23.4684,96.187,613.1,54.1,31.6,82.7,Loamy,4,35.7
22.5202,96.9881,292.6,32.9,47.6,72.5,Loamy,7,37.7
22.7558,91.5464,369.1,52.8,21.9,11.6,Sandy,2,32.3
22.1367,90.5721,465.8,53.9,15.4,36.2,Clayey,5,29.6
22.7083,94.118,515.8,33.0,15.4,60.2,Rocky,4,22.3
27.1226,91.883,578.8,50.7,9.6,32.0,Rocky,4,30.2
22.5339,88.2412,442.7,33.8,17.1,82.8,Sandy,7,23.2
24.3923,89.4834,187.2,30.1,48.2,60.7,Rocky,2,28.9
